country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Austria,"80,923","70,121","70,111","71,032","67,007","68,624","97,375","121,771","133,591","133,263","166,866","174,435","195,506","190,383","203,97","241,234","237,343","213,045","218,557","217,475","197,377","197,51","214,243","262,208","301,321","316,267","336,298","389,231","432,005","401,323","392,595","431,609","409,661","430,197","442,699","382,01","395,728","417,114","455,198","444,67","434,877","480,688","471,026","526,182","552,339","579,004","602,808","623,801","641,637"
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"1,193","1,309","2,258","2,417","3,177","4,317","4,28","4,581","5,273","5,475","6,232","7,276","8,682","13,273","21,027","33,09","48,979","44,289","52,913","65,99","69,687","74,16","75,24","50,844","37,83","41,375","47,113","48,174","42,693","54,825","78,721","77,392","80,983","84,292","87,926","91,76","96,046"
"Bahamas, The","2,598","2,692","3,031","3,373","3,603","3,923","4,241","4,669","4,855","5,473","5,218","5,128","5,125","5,097","5,372","5,653","5,95","6,332","6,833","7,684","8,076","8,318","8,881","8,87","9,055","9,836","10,167","10,618","10,526","9,982","10,096","10,07","10,72","10,395","10,998","11,673","11,751","12,254","12,654","13,059","9,755","11,528","12,897","13,876","14,506","15,061","15,598","16,132","16,694"
Bahrain,"3,593","4,056","4,264","4,368","4,534","4,278","3,347","3,626","4,481","4,675","4,965","5,209","5,442","5,986","6,411","6,787","7,057","7,318","6,996","7,582","9,063","9,189","9,594","11,075","13,15","15,969","18,505","21,73","25,711","22,938","25,713","28,777","30,749","32,539","33,388","31,051","32,235","35,474","37,802","38,654","34,622","39,288","44,383","44,994","47,121","49,135","51,167","53,36","55,715"
Bangladesh,"24,775","26,355","24,678","23,904","26,817","28,819","29,639","32,449","34,914","38,07","41,068","42,488","43,292","43,684","46,438","51,842","55,445","57,599","59,879","61,526","63,549","64,66","66,227","71,917","78,046","82,622","86,028","95,374","109,765","122,76","138,094","154,097","159,749","179,676","207,102","233,687","265,236","293,755","321,379","351,238","373,902","416,265","460,201","446,349","455,162","511,79","576,49","651,691","734,607"
Barbados,"1,018","1,12","1,171","1,243","1,355","1,418","1,557","1,714","1,823","2,018","2,024","2,032","1,957","2,075","2,163","2,229","2,377","2,513","2,833","2,969","3,059","3,055","3,106","3,21","3,444","3,82","4,217","4,674","4,785","4,466","4,53","4,658","4,61","4,677","4,696","4,725","4,833","4,982","5,097","5,324","4,672","4,844","5,685","6,22","6,657","7,049","7,426","7,795","8,157"
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"12,8","11,408","15,687","10,532","14,494","14,091","15,215","12,133","10,785","12,778","15,092","18,42","23,928","31,239","38,219","46,815","62,798","50,855","57,22","61,368","65,669","75,496","78,736","56,329","47,703","54,723","60,011","64,414","61,312","68,207","72,835","68,864","66,328","66,632","68,181","70,685","73,496"
Belgium,"123,478","102,245","89,958","85,037","81,237","84,467","117,063","145,411","158,097","159,816","200,149","205,369","228,732","218,72","238,622","288,301","279,292","253,022","258,876","258,5","236,897","236,748","258,2","318,004","369,047","385,927","408,281","470,978","517,27","482,73","481,814","523,239","496,467","521,799","535,529","462,383","475,931","502,587","543,546","535,924","524,792","594,748","579,059","627,511","658,12","682,067","703,754","722,806","743,299"
Belize,"0,23","0,239","0,239","0,252","0,281","0,279","0,304","0,355","0,42","0,484","0,549","0,599","0,693","0,751","0,772","0,819","0,851","0,868","0,914","0,975","1,116","1,163","1,233","1,298","1,39","1,462","1,581","1,696","1,729","1,681","1,739","1,82","1,903","2,03","2,138","2,21","2,258","2,286","2,315","2,417","2,08","2,492","2,985","3,218","3,37","3,497","3,629","3,767","3,909"
Benin,"2,302","1,557","1,542","1,365","1,456","1,58","2,036","2,43","2,552","2,37","2,89","2,954","3,284","3,199","2,227","2,993","3,251","3,124","3,362","3,681","3,522","3,666","4,191","5,348","6,187","6,571","7,034","8,17","9,787","9,728","9,543","10,691","11,148","12,518","13,288","11,389","11,818","12,697","14,257","14,392","15,674","17,699","17,439","19,94","21,789","23,627","25,593","27,557","29,669"
Bhutan,"0,123","0,133","0,14","0,151","0,156","0,162","0,183","0,222","0,254","0,253","0,273","0,236","0,231","0,242","0,245","0,287","0,301","0,337","0,371","0,389","0,423","0,441","0,481","0,572","0,649","0,758","0,812","0,995","1,26","1,184","1,399","1,695","1,772","1,806","1,784","1,974","2,064","2,294","2,509","2,452","2,421","2,442","2,653","2,686","2,86","3,093","3,366","3,572","3,808"
Bolivia,"3,589","3,44","3,813","3,609","3,752","4,059","3,97","4,323","4,598","4,716","4,868","5,335","5,635","5,724","5,974","6,707","7,385","7,919","8,49","8,269","8,385","8,155","7,917","8,092","8,785","9,573","11,52","13,216","16,792","17,464","19,786","24,135","27,282","30,883","33,237","33,241","34,189","37,782","40,581","41,193","36,897","40,703","44,315","46,796","49,718","52,691","55,896","59,355","63,027"
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"3,584","4,578","5,281","5,766","5,554","5,784","6,711","8,477","10,157","10,935","12,46","15,323","18,712","17,601","17,164","18,629","17,207","18,155","18,522","16,404","17,117","18,326","20,484","20,483","20,226","23,673","24,52","26,945","28,738","30,572","32,431","34,026","35,577"
Botswana,"1,174","1,037","1,094","1,208","1,2","1,117","1,515","2,374","3,082","3,441","3,799","3,802","3,928","3,957","4,258","4,805","4,926","5,011","4,808","5,413","5,682","5,46","5,395","7,469","8,819","9,833","9,919","10,566","10,731","10,118","12,637","15,111","13,907","14,272","15,47","13,531","15,083","16,105","17,032","16,696","14,93","18,737","20,352","20,756","21,94","23,488","25,329","27,098","29,116"
Brazil,"145,819","167,583","179,166","143,652","142,957","226,938","263,256","286,539","320,105","439,434","455,335","399,249","382,465","429,184","546,764","770,86","851,146","883,862","864,307","599,642","655,454","559,982","509,798","558,232","669,29","891,633","1107,628","1397,114","1695,855","1669,204","2208,704","2614,027","2464,053","2471,718","2456,055","1800,046","1796,622","2063,519","1916,934","1873,286","1476,092","1649,626","1920,023","2126,809","2265,117","2362,163","2476,626","2632,214","2774,468"
Brunei Darussalam,no data,no data,no data,no data,no data,"4,831","3,291","3,872","3,689","4,109","4,923","5,254","5,526","5,588","6,002","7,153","7,204","7,043","5,353","5,779","6,65","6,206","6,475","7,266","8,723","10,561","12,71","13,571","15,949","11,892","13,707","18,525","19,048","18,094","17,098","12,93","11,4","12,128","13,567","13,469","12,006","14,006","16,682","15,153","15,783","16,237","16,769","17,464","18,189"
Bulgaria,"37,751","40,718","42,467","43,641","46,358","39,692","35,13","40,721","66,546","67,774","29,882","2,928","11,882","6,449","11,338","18,992","12,295","11,317","15,031","13,628","13,246","14,183","16,403","21,146","26,158","29,868","34,38","44,432","54,476","52,024","50,683","57,68","54,299","55,812","57,082","50,782","53,953","59,322","66,428","68,92","70,346","84,12","89,115","103,099","110,336","117,499","123,817","129,788","135,965"
Burkina Faso,"2,386","2,076","1,934","1,767","1,579","1,746","2,29","2,665","2,942","2,942","3,488","3,526","3,775","3,599","2,164","2,676","2,909","2,753","3,155","3,388","2,961","3,19","3,62","4,74","5,449","6,15","6,548","7,627","9,45","9,44","10,118","12,078","12,569","13,444","13,947","11,833","12,817","14,176","15,896","16,179","17,96","19,748","18,934","20,785","22,916","24,851","26,816","28,67","30,665"
Burundi,"0,951","0,989","1,045","1,106","1,005","1,17","1,233","1,161","1,088","1,131","1,131","1,167","1,082","0,938","0,924",1,"0,868","0,972","0,893","0,866","0,87","0,877","0,825","0,785","0,915","1,117","1,273","1,356","1,612","1,775","2,032","2,236","2,333","2,456","2,706","3,104","2,96","3,172","3,037","3,012","3,086","3,351","3,918","3,19","3,058","3,415","3,787","4,206","4,651"
Cabo Verde,"0,157","0,154","0,155","0,152","0,145","0,152","0,21","0,26","0,292","0,295","0,339","0,353","0,395","0,398","0,448","0,536","0,553","0,54","0,575","0,657","0,609","0,616","0,679","0,944","1,074","1,12","1,261","1,65","1,96","1,852","1,825","2,047","1,913","2,029","2,042","1,75","1,855","1,965","2,073","2,231","1,871","2,065","2,308","2,598","2,797","2,991","3,198","3,404","3,623"
Cambodia,no data,no data,no data,no data,no data,no data,"0,205","0,141","0,276","0,346","0,899","2,011","2,439","2,427","2,765","3,441","3,507","3,443","3,13","3,513","3,667","3,992","4,289","4,665","5,334","6,286","7,267","8,63","10,341","10,391","11,232","12,817","14,056","15,227","16,702","18,082","20,043","22,206","24,598","27,087","25,771","26,601","28,818","30,943","33,233","35,859","38,777","41,801","45,091"
Cameroon,"8,85","10,026","9,616","9,692","10,243","10,698","13,945","16,152","16,403","14,626","14,641","16,325","14,963","15,611","10,622","10,075","11,227","11,352","11,338","11,553","10,245","10,95","12,369","15,944","18,803","19,534","20,912","23,931","27,712","27,903","27,53","30,626","30,174","33,729","36,396","32,213","33,805","36,086","39,992","39,673","40,863","45,391","44,322","49,262","52,982","56,791","60,226","63,539","67,113"
Canada,"276,064","307,246","314,639","341,863","356,728","366,184","379,015","433,14","509,38","567,225","596,089","612,514","594,376","579,059","579,913","605,941","630,598","655,01","634,004","678,417","744,631","738,968","760,149","895,599","1026,473","1173,505","1319,356","1468,896","1552,864","1376,509","1617,345","1793,327","1828,362","1846,595","1805,751","1556,508","1527,996","1649,266","1725,3","1743,725","1647,598","2001,487","2137,939","2117,805","2238,568","2364,551","2474,33","2583,805","2699,364"
Central African Republic,"0,714","0,743","0,719","0,69","0,67","0,883","1,158","1,275","1,372","1,354","1,572","1,498","1,494","1,309","0,858","1,117",1,"0,979","1,036","1,039","0,868","0,899","0,983","1,188","1,31","1,413","1,538","1,755","2,033","2,059","2,141","2,435","2,512","1,692","1,896","1,696","1,825","2,072","2,28","2,278","2,388","2,584","2,463","2,76","2,995","3,205","3,418","3,613","3,827"
Chad,"0,738","0,873","0,844","0,844","0,907","0,983","1,211","1,372","1,604","1,515","1,826","1,809","1,886","1,648","1,335","1,636","1,819","1,748","1,975","1,739","1,572","1,936","2,257","3,102","5,003","6,676","7,451","8,687","10,43","9,315","10,701","12,183","12,411","12,994","14,003","10,952","10,202","10,079","11,042","10,993","10,757","11,79","12,096","12,596","13,192","13,787","14,437","15,121","15,776"
Chile,"29,032","34,374","25,63","20,819","20,246","17,36","18,662","22,01","25,947","29,889","33,231","38,249","46,597","49,855","57,517","74,119","78,575","85,73","81,996","75,596","78,25","71,517","70,295","76,508","99,079","122,315","153,84","172,565","179,663","171,794","217,105","251,225","267,165","277,218","259,394","242,515","249,306","276,357","295,428","278,354","254,276","316,667","300,729","344,4","354,47","372,487","390,402","407,874","426,681"
"China, People's Republic of","303,004","288,699","284,601","305,428","314,23","310,133","300,92","327,728","408,663","458,18","396,59","413,209","492,148","617,433","561,686","730,996","860,468","957,991","1024,167","1088,346","1205,532","1333,649","1465,829","1656,962","1949,446","2290,019","2754,149","3555,655","4577,28","5088,992","6033,83","7492,212","8539,584","9624,928","10524,241","11113,508","11226,897","12265,327","13841,812","14340,6","14862,564","17759,307","17886,331","17700,899","18560,013","19781,703","21059,834","22291,053","23608,859"
Colombia,"46,501","50,661","54,252","53,92","53,257","48,581","48,648","50,64","54,592","55,048","56,071","57,954","68,579","77,721","97,665","110,564","116,13","127,49","117,725","103,132","99,27","97,606","97,353","94,072","116,382","145,601","161,793","206,23","242,504","232,469","286,499","334,966","370,692","382,094","381,241","293,493","282,719","311,89","334,124","323,055","270,151","318,512","343,622","363,835","373,43","390,269","410,639","432,755","456,063"
Comoros,"0,242","0,212","0,201","0,195","0,188","0,191","0,257","0,312","0,336","0,328","0,401","0,4","0,436","0,427","0,314","0,392","0,392","0,362","0,363","0,372","0,339","0,373","0,427","0,547","0,622","0,656","0,689","0,796","0,916","0,904","0,909","1,023","1,016","1,116","1,15","0,966","1,013","1,077","1,179","1,188","1,218","1,285","1,237","1,364","1,445","1,536","1,639","1,739","1,841"
"Congo, Dem. Rep. of the","68,606","59,726","64,939","52,378","34,951","31,943","35,84","33,932","39,314","40,006","41,448","40,25","36,333","47,45","25,746","25,021","32,099","28,819","21,089","19,147","19,077","7,246","8,72","9,022","10,275","12,72","15,403","18,598","22,665","18,626","22,34","26,406","30,074","34,908","38,355","40,154","38,086","39,461","48,037","50,891","48,707","57,328","65,784","67,512","73,286","81,189","89,56","98,986","108,797"
"Congo, Republic of ","2,165","1,775","1,548","1,407","1,294","1,327","1,815","2,205","2,346","2,478","2,909","3,035","3,28","3,004","2,068","2,457","2,84","2,568","2,24","2,646","3,624","3,038","3,33","3,863","5,101","6,654","8,073","8,784","11,649","9,713","13,159","15,653","17,704","17,959","17,918","11,891","10,928","11,83","14,781","13,977","11,485","13,387","13,961","14,407","15,421","16,217","17,157","18,114","19,16"
Costa Rica,"4,854","2,636","2,619","3,162","3,678","3,941","4,425","4,554","4,636","5,25","5,737","7,197","8,566","9,586","10,489","11,578","11,683","12,618","13,688","14,259","15,016","15,979","16,584","17,277","18,615","20,049","22,717","26,885","30,802","30,746","37,656","42,762","47,231","50,949","52,017","56,442","58,847","60,517","62,422","64,412","62,382","64,61","68,373","85,59","91,926","97,239","102,619","108,256","113,946"
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"0,568","7,356","16,664","20,652","22,099","22,096","23,965","23,587","22,14","23,062","26,742","35,247","41,837","45,053","49,533","59,18","68,336","61,872","58,741","62,588","57,267","59,366","59,231","50,745","52,376","55,92","61,357","61,338","57,607","68,933","70,548","80,185","86,3","91,178","96,38","100,89","105,607"
Cyprus,"2,314","2,242","2,319","2,321","2,447","2,611","3,317","3,979","4,589","4,901","6,003","6,195","7,424","7,098","8,004","9,937","10,016","9,544","10,251","10,502","9,988","10,397","11,422","14,552","17,328","18,713","20,422","24,082","27,955","26,02","25,821","27,637","25,063","23,96","23,232","19,911","21,041","22,938","25,608","25,948","24,99","28,427","28,461","32,032","34,061","36,126","38,183","40,109","42,043"
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"60,139","67,388","62,171","66,782","65,173","61,823","67,809","82,184","100,125","119,815","137,143","156,264","189,988","237,131","207,558","209,07","229,563","208,858","211,686","209,359","188,033","196,272","218,629","249,001","252,548","245,975","281,791","290,528","335,243","359,111","381,015","402,594","420,769","438,526"
C�te d'Ivoire,"13,877","11,502","10,32","9,312","9,284","9,47","12,675","13,944","14,092","13,487","14,923","14,504","15,416","15,268","11,492","15,205","16,78","16,203","17,433","17,114","14,851","15,485","17,148","21,206","22,924","23,626","24,628","28,158","33,621","33,693","34,431","35,529","37,03","43,228","48,882","45,815","48,408","52,512","58,522","59,898","63,074","71,849","70,18","79,43","86,892","94,471","102,309","109,813","118,261"
Denmark,"71,127","61,878","60,413","60,645","59,105","62,658","88,079","109,414","115,552","112,41","138,248","139,226","152,915","143,195","156,164","185,008","187,633","173,539","176,991","177,964","164,158","164,791","178,635","218,097","251,375","264,467","282,886","319,424","353,359","321,243","321,995","344,003","327,149","343,584","352,994","302,673","313,116","332,121","356,841","346,499","354,763","405,688","401,125","420,8","431,248","448,387","466,92","485,33","504,761"
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"0,635","0,65","0,672","0,655","0,691","0,699","0,694","0,706","0,722","0,759","0,781","0,811","0,837","0,882","0,936","0,996","1,08","1,191","1,382","1,426","1,544","1,74","1,901","2,044","2,221","2,424","2,605","2,763","2,913","3,089","3,185","3,386","3,662","3,873","4,2","4,541","4,888","5,261","5,663"
Dominica,"0,073","0,082","0,09","0,099","0,109","0,119","0,135","0,152","0,171","0,185","0,201","0,22","0,234","0,246","0,264","0,275","0,292","0,303","0,322","0,332","0,333","0,34","0,333","0,343","0,367","0,364","0,39","0,421","0,458","0,489","0,494","0,501","0,486","0,498","0,52","0,541","0,576","0,522","0,555","0,612","0,504","0,555","0,627","0,697","0,749","0,796","0,836","0,875","0,916"
Dominican Republic,"8,672","9,698","9,141","9,461","14,87","6,496","7,891","8,305","7,605","8,589","7,995","9,887","11,605","13,081","14,645","16,637","18,242","20,017","21,672","22,137","24,306","25,602","27,249","21,518","22,506","35,948","37,998","44,067","48,206","48,319","53,921","58,088","60,747","62,758","67,264","71,254","75,777","80,082","85,63","89,032","78,923","94,458","113,873","120,629","127,913","137,344","147,54","158,189","169,613"
Ecuador,"16,84","17,243","17,214","15,129","16,101","18,83","13,816","12,91","12,277","12,049","12,236","13,73","15,012","17,537","21,147","22,968","24,035","27,009","27,474","19,74","18,319","24,468","28,549","32,433","36,592","41,507","46,802","51,008","61,763","62,52","69,555","79,277","87,925","95,13","101,726","99,29","99,938","104,296","107,562","108,108","99,291","106,166","115,049","118,686","122,762","127,109","131,839","137,621","143,622"
Egypt,"23,523","25,76","30,479","37,254","41,888","48,841","54,076","77,359","92,53","115,362","96,087","48,431","44,168","49,526","54,55","63,25","71,118","79,777","89,189","95,039","104,752","102,273","90,261","85,163","82,855","94,127","112,902","137,055","170,797","198,316","230,024","247,726","294,482","303,194","321,634","350,119","351,443","246,826","263,156","317,894","382,525","423,3","475,231","398,397","357,825","408,934","461,087","522,533","591,101"
El Salvador,"3,912","3,449","3,406","3,261","2,385","2,319","2,335","2,374","2,771","3,167","4,818","5,252","5,813","6,68","7,679","8,922","9,586","10,222","10,937","11,284","11,785","12,283","12,664","13,244","13,725","14,698",16,"17,012","17,987","17,602","18,448","20,284","21,386","21,991","22,593","23,438","24,191","24,979","26,021","26,881","24,93","29,451","32,489","35,339","37,172","38,81","40,529","42,356","44,213"
Equatorial Guinea,"0,032","0,03","0,035","0,04","0,044","0,074","0,091","0,111","0,119","0,105","0,133","0,132","0,16","0,162","0,12","0,169","0,276","0,526","0,44","0,738","1,159","1,674","2,071","3,768","5,954","8,187","10,095","13,089","19,83","15,088","16,314","21,357","22,388","21,949","21,765","13,185","11,241","12,201","13,097","11,364","9,894","12,269","11,767","10,041","10,338","10,352","10,421","10,612","10,895"
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"0,606","0,374","0,433","0,483","0,579","0,594","0,626","0,614","0,547","0,582","0,564","0,673","0,858","0,85","0,937","1,02","0,923","1,297","1,59","2,065","2,255","1,958","2,604","2,016","2,213","1,904","2,006","1,982",no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"1,791","2,507","3,909","4,785","5,16","5,678","5,772","5,707","6,269","7,391","9,891","12,158","14,126","17,047","22,476","24,433","19,693","19,568","23,21","23,034","25,116","26,641","22,893","24,066","26,915","30,639","31,294","31,305","36,889","37,951","41,799","44,496","47,098","49,775","52,204","54,671"
Eswatini,"0,754","0,798","0,714","0,734","0,628","0,497","0,635","0,831","0,986","1,006","1,237","1,285","1,425","1,497","1,621","1,932","1,83","1,957","1,797","1,764","1,739","1,544","1,436","2,198","2,774","3,177","3,293","3,465","3,298","3,596","4,438","4,826","4,887","4,6","4,426","4,061","3,815","4,407","4,665","4,495","3,984","4,744","4,837","4,648","4,937","5,189","5,41","5,591","5,775"
Ethiopia,"7,385","7,578","7,973","8,863","8,375","9,808","10,188","10,89","11,285","11,872","12,595","13,928","14,696","9,143","8,135","7,887","8,794","8,621","7,815","7,515","8,167","8,103","7,828","8,604","10,122","12,387","15,31","19,329","26,25","28,672","26,887","30,48","42,221","46,544","54,165","63,081","72,12","76,841","80,207","92,608","96,611","99,269","120,369","155,804","192,013","223,52","248,938","272,121","297,968"
Fiji,"1,303","1,339","1,293","1,217","1,276","1,236","1,398","1,276","1,202","1,281","1,448","1,5","1,659","1,772","1,977","2,134","2,307","2,268","1,795","2,104","1,824","1,798","1,996","2,509","2,954","3,257","3,361","3,688","3,816","3,106","3,402","4,094","4,303","4,539","4,857","4,682","4,93","5,353","5,581","5,444","4,432","4,305","4,98","5,511","5,97","6,342","6,706","7,082","7,47"
Finland,"53,714","52,62","53,111","51,056","53,032","56,223","73,652","91,775","109,255","119,106","141,718","128,194","113,134","89,279","103,739","134,339","132,183","127,076","134,212","135,398","126,075","129,534","140,305","171,609","197,39","204,999","217,101","256,408","285,685","253,222","249,628","275,556","258,454","271,366","274,934","234,558","240,705","255,558","275,833","268,545","271,668","296,97","283,124","305,689","316,308","327,627","339,852","351,11","362,831"
France,"702,243","618,954","588,015","562,499","532,339","557,561","772,838","935,117","1020,878","1026,179","1272,433","1273,594","1404,391","1324,236","1396,653","1602,13","1606,035","1454,555","1505,184","1494,634","1366,243","1377,667","1500,348","1844,083","2118,671","2198,16","2320,659","2660,905","2929,983","2697,955","2647,348","2864,653","2685,371","2811,919","2856,701","2439,436","2472,282","2594,235","2792,223","2729,171","2645,3","2958,431","2780,136","3049,016","3183,486","3316,773","3438,832","3537,299","3634,749"
Gabon,"4,559","4,111","3,853","3,689","3,547","3,736","4,889","3,699","4,079","4,458","6,339","5,754","5,955","5,757","4,463","5,281","6,064","5,673","4,774","4,966","5,397","5,023","5,332","6,51","7,767","9,468","10,164","12,457","15,57","12,188","14,384","18,207","17,181","17,596","18,209","14,385","14,02","14,924","16,83","16,824","15,337","20,229","21,117","19,319","19,851","20,409","21,143","21,72","22,529"
"Gambia, The","0,606","0,579","0,548","0,551","0,396","0,482","0,376","0,504","0,585","0,614","0,721","0,76","0,82","0,878","0,87","0,909","0,949","0,983","1,009","1,036","1,01","1,002","0,887","0,843","0,962","1,028","1,054","1,28","1,562","1,45","1,543","1,41","1,415","1,376","1,229","1,355","1,47","1,498","1,662","1,806","1,809","2,045","2,161","2,388","2,684","2,903","3,09","3,281","3,481"
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"0,85","1,961","3,148","3,608","3,73","2,898","3,144","3,311","3,493","4,103","5,269","6,59","7,979","10,458","13,158","11,069","12,242","15,107","16,489","17,188","17,627","14,953","15,141","16,242","17,599","17,477","15,846","18,625","24,606","30,023","31,418","34,075","36,854","39,823","42,834"
Germany,"853,705","718,264","693,547","691,912","651,9","661,037","944,124","1174,861","1266,623","1257,393","1598,64","1875,618","2136,312","2072,457","2209,934","2588,002","2498,113","2214,694","2242,065","2197,125","1948,843","1945,804","2077,016","2501,014","2813,076","2848,438","2994,862","3425,982","3744,854","3407,557","3402,444","3748,655","3529,377","3733,859","3890,095","3357,926","3468,896","3689,547","3976,246","3889,607","3884,615","4281,348","4085,681","4429,838","4700,875","4960,294","5181,79","5327,941","5459,256"
Ghana,"37,35","60,694","70,406","47,317","17,113","15,255","14,072","11,777","12,523","12,733","14,749","16,506","16,312","13,348","12,32","14,61","15,482","15,794","17,166","17,766","11,47","12,234","14,205","17,528","20,302","24,6","28,883","34,044","38,659","34,601","43,327","53,849","56,854","63,702","54,285","49,437","56,144","60,385","67,259","68,353","70,008","79,599","72,243","76,628","75,647","76,707","81,79","87,22","93,094"
Greece,"57,01","52,605","54,878","49,603","48,329","47,936","56,421","65,683","76,448","79,25","97,964","105,633","116,467","109,022","116,678","136,942","145,872","143,326","144,644","149,412","132,198","136,31","154,455","202,32","240,854","248,012","273,562","318,941","355,869","330,949","297,368","282,946","242,183","238,911","235,519","195,703","193,095","199,773","212,146","205,279","188,775","215,017","219,238","242,385","256,271","266,633","275,896","282,878","289,954"
